split,label_name,label,filename,relpath,abspath,width,height,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,contrast,edge_density,hist_00,hist_01,hist_02,hist_03,hist_04,hist_05,hist_06,hist_07,hist_08,hist_09,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15
sample,fake,1,IMG-20250106-WA0009.jpg,IMG-20250106-WA0009.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\Sample_fake_images\Sample_fake_images\fake\IMG-20250106-WA0009.jpg,960.0,720.0,1.3333333333333333,0.4142429232597351,0.3590603172779083,0.3396107256412506,0.28297439217567444,0.2593710422515869,0.25128743052482605,0.36938416957855225,0.2605225741863251,0.0859375,0.1433883160352707,0.08499276638031006,0.09212963283061981,0.07087384164333344,0.061124131083488464,0.07361545413732529,0.08196325600147247,0.08772280067205429,0.0783941000699997,0.06440972536802292,0.053041089326143265,0.026895254850387573,0.015431134030222893,0.01015624962747097,0.01201967615634203,0.04384259134531021
sample,fake,1,IMG-20250106-WA0010.jpg,IMG-20250106-WA0010.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\Sample_fake_images\Sample_fake_images\fake\IMG-20250106-WA0010.jpg,960.0,720.0,1.3333333333333333,0.3276268541812897,0.2915104627609253,0.26725614070892334,0.2736617624759674,0.29641398787498474,0.31188565492630005,0.297436386346817,0.2912084460258484,0.06539818548387097,0.15383101999759674,0.2756148874759674,0.09021701663732529,0.0718865767121315,0.07273437827825546,0.060745082795619965,0.04504195600748062,0.03074074164032936,0.015881076455116272,0.014525462873280048,0.014194155111908913,0.015217013657093048,0.019419848918914795,0.031539350748062134,0.032923899590969086,0.055487558245658875
sample,fake,1,IMG-20250106-WA0011.jpg,IMG-20250106-WA0011.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\Sample_fake_images\Sample_fake_images\fake\IMG-20250106-WA0011.jpg,960.0,720.0,1.3333333333333333,0.38341063261032104,0.367095947265625,0.3961092233657837,0.27381372451782227,0.27024784684181213,0.29363176226615906,0.37265467643737793,0.2676987946033478,0.09232954545454546,0.10962528735399246,0.14891782402992249,0.12538772821426392,0.04213975742459297,0.047789350152015686,0.04919126257300377,0.06023292988538742,0.0624464713037014,0.06307291984558105,0.06188078597187996,0.07800780981779099,0.05945023149251938,0.030256075784564018,0.03584635257720947,0.02492476813495159,0.0008304397924803197
sample,fake,1,IMG-20250106-WA0012.jpg,IMG-20250106-WA0012.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\Sample_fake_images\Sample_fake_images\fake\IMG-20250106-WA0012.jpg,960.0,720.0,1.3333333333333333,0.44020897150039673,0.38793104887008667,0.3181911110877991,0.28643539547920227,0.2725752592086792,0.2596876621246338,0.3940117359161377,0.272339403629303,0.09527355205278593,0.13740740716457367,0.11296585947275162,0.03760271891951561,0.04966001212596893,0.06810764223337173,0.07647569477558136,0.09049913287162781,0.07814670354127884,0.07760850340127945,0.07444878667593002,0.06299912929534912,0.03647569566965103,0.018580729141831398,0.010778356343507767,0.01146412082016468,0.056779514998197556
sample,fake,1,IMG-20250106-WA0013.jpg,IMG-20250106-WA0013.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\Sample_fake_images\Sample_fake_images\fake\IMG-20250106-WA0013.jpg,960.0,720.0,1.3333333333333333,0.4196407198905945,0.34743642807006836,0.31240323185920715,0.34803277254104614,0.2970096170902252,0.2692388892173767,0.36025387048721313,0.30153730511665344,0.09261592741935484,0.22378471493721008,0.12541233003139496,0.06577546149492264,0.05355758219957352,0.0473104752600193,0.046025753021240234,0.05036168918013573,0.04957175999879837,0.04660734906792641,0.041099537163972855,0.04486255720257759,0.050231482833623886,0.06639322638511658,0.03849392384290695,0.023428820073604584,0.02708333358168602
test,fake,1,0.jpg,0.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\test-20250112T065939Z-001\test\fake\0.jpg,696.0,696.0,1.0,0.5235723853111267,0.4686610996723175,0.49817922711372375,0.28322452306747437,0.270259827375412,0.20523840188980103,0.48245805501937866,0.2579275369644165,0.081207275390625,0.00801790226250887,0.09745549410581589,0.09586182236671448,0.06302846968173981,0.051428936421871185,0.05083027854561806,0.07160374522209167,0.05648450925946236,0.0825282409787178,0.08248282223939896,0.07372382283210754,0.07445459812879562,0.07535672187805176,0.074250228703022,0.03847726061940193,0.00401514396071434
test,fake,1,1.jpg,1.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\test-20250112T065939Z-001\test\fake\1.jpg,1600.0,1600.0,1.0,0.43557026982307434,0.39253783226013184,0.3188391327857971,0.18406972289085388,0.18765771389007568,0.1948740929365158,0.39636847376823425,0.18430858850479126,0.0829010009765625,0.012062890455126762,0.03163124993443489,0.061853908002376556,0.13021406531333923,0.1615535169839859,0.13592968881130219,0.07779648154973984,0.08306953310966492,0.08900859206914902,0.09137773513793945,0.07321249693632126,0.024797266349196434,0.011828125454485416,0.005516015458852053,0.003079296788200736,0.007069140672683716
test,fake,1,10.jpg,10.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\test-20250112T065939Z-001\test\fake\10.jpg,2000.0,3000.0,0.6666666666666666,0.596537172794342,0.5487000942230225,0.48700737953186035,0.2719360589981079,0.2896476984024048,0.3164413869380951,0.5544178485870361,0.27362266182899475,0.112335205078125,0.021918833255767822,0.04188966751098633,0.05816366523504257,0.06591550260782242,0.05877283215522766,0.04961016774177551,0.05149633437395096,0.057085998356342316,0.09569333493709564,0.07397283613681793,0.06876999884843826,0.07738000154495239,0.05936683341860771,0.046116165816783905,0.09987066686153412,0.07397716492414474
test,fake,1,100.jpg,100.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\test-20250112T065939Z-001\test\fake\100.jpg,1600.0,988.0,1.6194331983805668,0.41026127338409424,0.4350661337375641,0.46015238761901855,0.18381744623184204,0.21289101243019104,0.2516300082206726,0.43160390853881836,0.20864737033843994,0.03839258756038647,0.0,0.001777580939233303,0.12255124002695084,0.2012133151292801,0.07860323786735535,0.05108615756034851,0.03354187682271004,0.09016257524490356,0.08685538917779922,0.0774177610874176,0.12450721114873886,0.08520622551441193,0.043629806488752365,0.0034071356058120728,4.048582923132926e-05,0.0
test,fake,1,101.jpg,101.jpg,C:\Users\sagni\Downloads\DeepFakeShield\archive\test-20250112T065939Z-001\test\fake\101.jpg,1280.0,1280.0,1.0,0.5167396664619446,0.3299238681793213,0.2849714159965515,0.28660085797309875,0.22980158030986786,0.23290503025054932,0.36638107895851135,0.2190822958946228,0.175811767578125,0.014005737379193306,0.11586914211511612,0.1389886438846588,0.11389404535293579,0.10079468041658401,0.09016967564821243,0.0861041247844696,0.07392456382513046,0.059288330376148224,0.05192504823207855,0.04641967639327049,0.039854735136032104,0.032981567084789276,0.027382202446460724,0.008287963457405567,0.00010986327833961695
